computer science,c100000
diabetology,c105357
foundamental nursing,c105358
community health nursing health promotion pramary health care child health nursing community health nursing and health promotion child health nursing midwife health center management primary health care and health nursing,c105359
critical care medicine,c105360
phdin medical science and technology,c105361
pdf neuroinfections,c105362
hiv and family education,c105363
tbcd,c105364
management nursing services and education,c105365
nursing community health,c105366
clinical perfusion,c105367
optometry and techniques theatre technology,c105368
optomatry,c105369
ddt,c105370
dihbt,c105371
paramedical subjects,c105372
auxiliary nursing and midwifery,c105373
neurosugery,c105374
general nursing,c105375
hosp adm,c105376
dmin addiction medicine,c105377
radiography technology,c105378
health and yoga therapy,c105379
pbbsc nursing,c105380
pdf transfusion medicine,c105381
ecg/tredmill technician,c105382
cbpn,c105383
ophthalmic science,c105384
ot33,c105385
ecg technuciaan,c105386
operation theater,c105387
diabetes education,c105388
operation theater and anathesia technology,c105389
pcbsc,c105390
ophthamology,c105391
medical lab science,c105392
microbiology medicine external,c105393
audiology sppech language pathology,c105394
cardio thoracic and vascular surgery,c105395
bio science fmn chn prc psy mental health,c105396
science and arts,c105397
cdvt,c105398
biochemistry medicine external,c105399
endocrine surgery,c105400
phthalmology,c105401
old,c105402
anatomy physilogy/psy/sio/chn/fon nursing/micro biology/first aid/ms1/ms2/mhn/midwifry/child health nursing/,c105403
community health nursing health promotion midwifery health centre management primary health care,c105404
operation theatre and clinical technology,c105405
yog,c105406
prescribe by inc syllabus,c105407
medical surgical nrsing community anatomy and physiology fundamentals nursing,c105408
surg mhn chn,c105409
mimg,c105410
msin prasuti tantra and streeroga asa,c105411
subjects the year,c105412
in6 specialities,c105413
in decipline,c105414
quality assurance,c105415
emergency medical technician,c105416
community health nursing 1,c105417
operation theater managament,c105418
post doctoral fellowship neonatal intensive care unit nicu,c105419
clinical refraction visual rehabilitation medical law principles ward work and ot training,c105420
edical science,c105421
physical medicine and rehabilitation asm,c105422
surg obg and child helath nursing,c105423
medical surgical nursing community health nursing obg nursing psychiatric nursing paediatric nursing,c105424
pharmaceutical analysis and qa,c105425
general subject,c105426
m pharmacy,c105427
community healthnursinghealth promotionprimaryhealth care nursingchildhealth nursingmidwiferyhealth center management,c105428
psychatric nursing,c105429
ayurved nursing,c105430
pharmacognosy,c105431
pharmaceutical technology,c105432
medical and paramedical health science,c105433
nursing ranm,c105434
music therapy,c105435
ayurvedic nursing,c105436
bmxrt,c105437
dmrd radio diagnosis,c105438
ayurved nusring,c105439
and ho,c105440
comunity health nursing health promotion primary health nursing child health nursing midwifery health centre management,c105441
respiratory technician,c105442
nursing science,c105443
radio diagnosis/radiology,c105444
fellowship anaesthesiology,c105445
radio diagnosis and imaging,c105446
neuro surgery asm,c105447
psychiatry social work,c105448
post basic subjects,c105449
new,c105450
neurology asm,c105451
neuro surgery part time,c105452
pulmonary and critical care medicine,c105453
nursing sub,c105454
nursing subject,c105455
anatomy and physiology,c105456
nursng,c105457
shalyatantra,c105458
cardiac anesthesiology cardiology cardiothoracic and vascular surgery endocrinology gastroenterology medical hepatology neonatology nephrology neurology neuromedicine neurosurgery pediatric surgery plastic surgery rheumatology urology,c105459
seed,c105460
psm,c105461
immuno haematology and blood transfusion,c105462
paediatric neurology,c105463
dcnt,c105464
rrt and dtexercise and sports science,c105465
physiotherapy part time,c105466
medical management,c105467
dermatology,c105468
respiratory technology,c105469
operation theator technician,c105470
m optom,c105471
emergency edicine,c105472
cardiac sonography technician,c105473
medical and paramedical,c105474
dtcd tuberculosis and chest diseases,c105475
biostatistics and epidemiology,c105476
ophthalmic technology1,c105477
d ophthal,c105478
pbb science,c105479
dota with credits distance education,c105480
post b science,c105481
cath lab,c105482
perfustionst cardiac surgery technician,c105483
vocational education,c105484
ortho technician,c105485
nusing subect,c105486
anat bioc phys micr path phar asth gmed paed psyy tbrd dvl radd radt obgy ent gsur orth pmr,c105487
ddvl dermatology venereology and leprosy,c105488
nirsing,c105489
obg nursing,c105490
obstetrics and gyaenocology,c105491
paediatric surgery,c105492
cssd technology,c105493
emergency care technician,c105494
fellowship psychiatric rehabilitation,c105495
anatomy ot management,c105496
course biostatistics,c105497
advance technical and analytical,c105498
pulmonary medicine asm,c105499
multipurpose hospital worker,c105500
drdt,c105501
dclp,c105502
pumonary medicine,c105503
chn,c105504
2 ydc,c105505
ophthalmology ent anesthesia radio,c105506
dme,c105507
fundamental nursing,c105508
fundamental,c105509
dan dlo dpsy dmrd dmrt dvd,c105510
primary health care nursing community health nursing child health nursing health promotion midwifery health center management,c105511
medical stem cells,c105512
medical and surgical,c105513
operation theater and anaesthesia technology,c105514
rnm nursing,c105515
emergency medical services,c105516
otorhinolaryngology ent,c105517
child health nursing peratic nursing community health nursing,c105518
msn chn paediatric psy obg,c105519
as per inc syllabus,c105520
nursing and nonnursing,c105521
child and parental counseling,c105522
nursing new,c105523
plastic surgery,c105524
obg,c105525
mri techni,c105526
peadiatric surgery,c105527
blood transfusion,c105528
dmrt,c105529
tech virology,c105530
cardio pulmonary perfusion care technology,c105531
blood transfusion techni,c105532
nutrition and detection,c105533
operatio theatre technology,c105534
pducc clinical cardiology,c105535
b optom,c105536
preventive and social medicine,c105537
physical medicine,c105538
operation theaatre technician,c105539
steams medical science art commerce,c105540
medicine surgery gynaecology ortho ent opthalm aneathesia,c105541
osteopathy,c105542
physiology biochemistry pathology pharmacology community medicine forensic medicine pediatrics anaesthesia chest medicine general medicine skin and venereal diseases psychiatry radio diagnosis radio therapy microbiology,c105543
cardiac anaesthesia asm,c105544
pdf neuropatholgy,c105545
mscin epidemiology,c105546
anestheshia,c105547
anethesialogy,c105548
geriatrics,c105549
anaesthesia technician,c105550
anesthesiology asm,c105551
bachelor naturopathy and yoga science,c105552
fellowship ultrasound guided regional anaesthesia,c105553
medical bionanotechnology,c105554
icu tech,c105555
anasthesiology,c105556
ot and at,c105557
anaesthesology,c105558
chn midwifery,c105559
ayush nursing,c105560
phc child health nursing chc midwifery,c105561
phc chc chc midwifery,c105562
medical surgical nursing hiv aids,c105563
advance nursing practice ii medical surgical nursing iii obstetric and gynaecological nursing iii child health nursing iii community health nursing iii psychiatric nursing iii nursing research and statistics iv,c105564
anatomy fundamental nursing medical surgical nsg obg community health nsg psychiatric midwifery,c105565
nursing part time,c105566
heath promotion chn primary heath nsg child health nsg midwifery health centre management,c105567
1 medicalsurgicalnursing ii2 childhealthnursing 3 mentalhealthnursing,c105568
anatomy psychology sociology medical surgical midwifery pediatric,c105569
pdf neuroanaesthesia,c105570
/nursing,c105571
fon,c105572
according to inc syllabus,c105573
pducc clinical cardiac anaesthesia,c105574
general nursing midwifery,c105575
pera medical,c105576
tuberculosis and respiratory diseases / pulmonary medicine,c105577
community etc,c105578
cardiovascular and thoracic surgery,c105579
fundamentals nursing community health nursing behavioral science bilogical science medical surgical nursing mental health nursing obg peadiatric nursing,c105580
pdf psychiatry,c105581
medical laboratory techonology,c105582
pharmachology,c105583
advance nursing practice,c105584
uxilary nurse midwife,c105585
antomy community health nursing fundamental nursing peadtric nursing mental health nursing gynacology etc,c105586
community,c105587
pharmocology,c105588
advance pharmaceutical business management,c105589
surgical endoscopic techniques,c105590
plastic surgery pediatric surgery cardio thoracic surgery,c105591
medical surgical anatomy physiology community health nursing psychology and sociology psychiatry patricide and midwifery foundation/fundamental nursing first aid and computer,c105592
tutor,c105593
community health nursing health promotion primary health care child health nursing midwifry health centre and mgt,c105594
inter pass with zbc group,c105595
pulmonary medicine and critical care,c105596
mgn,c105597
pbb science nursing,c105598
tb and cd,c105599
medical surgical comunity ob and g phsyciatric,c105600
b pharmacy,c105601
pharm d asp,c105602
drin pharmacy,c105603
b pharma,c105604
community health nursing health promotion primary health care child health nursing midwifery helth center management curriculum practical,c105605
doctor pharamcy,c105606
pharmaceutics pharmacology,c105607
m pharma,c105608
anatomy and physiology fundamentals nursing psychology nutrition chn computer english,c105609
m pharm pharmacology,c105610
liver transplant anesthesia,c105611
apn nursing edu specility nsh research nsg mgt,c105612
anatomy physiology nutrition biochemistry microbiology psychology nursing foundation english introduction to computer,c105613
respiratory therapy,c105614
d pharm,c105615
pharm d,c105616
bio science beh science fon chn i,c105617
fon chn bio science behavioural science ms1ms2 mhn peads midwifery chn ii,c105618
quality assurance and pharm regulatory affairs,c105619
pa and qa,c105620
pharma analisis,c105621
b pharmacy leet,c105622
pharmacy pharmaceutics,c105623
auxiliary nurse and midwives,c105624
pharmacy practice,c105625
pharmacutical analysis and quality assurance,c105626
pediatric community anatamy sociology psychiatry community health problems,c105627
decipline,c105628
yoga teacher with credits distance education,c105629
anatomy physiology pathology microbiology pharmacology diseases eye mechanical optics and ocular pharmacology,c105630
ctmri technician,c105631
operation theatre technology 2,c105632
opto,c105633
nursuing,c105634
nursing assistant,c105635
hiv medicine,c105636
social and preventive medicine,c105637
anaesthesia techninology,c105638
idirhem,c105639
nursing aide physician assistant,c105640
nursing paper,c105641
angiography technician,c105642
dpn nursing,c105643
x ray technician,c105644
radiotheraphy,c105645
system biology and bio informatics,c105646
blood transfusion and immunohematology,c105647
nursing obstetrics and gynaecology,c105648
community health health promotion primary health care nursing i child health nursing,c105649
pulmonart medicine,c105650
deegt,c105651
primary health care,c105652
ns msnursing foundation sociology mental health nursing psychology obg medical surgical nsg i and ii child health nursing nsg research and statics mnse,c105653
tb and respiratory diseases,c105654
radiography technology1,c105655
pdf neurology,c105656
dip pm and r,c105657
auxiliary nurse and midwifery,c105658
skin / dermatology,c105659
ceutics,c105660
neurophysiology,c105661
uapgcc dermatology including cosmetic dermatology,c105662
dental science,c105663
ranm,c105664
ecg technology 2,c105665
cardiac nursing,c105666
value health care,c105667
clinical and community psychology,c105668
anatomy and physiology nursing subjects,c105669
nur,c105670
midwifery and child health nursing,c105671
hospital adminstration,c105672
ayurvedic pharmacy,c105673
surgical technology,c105674
health science health economics stats hosp admin,c105675
mlt medical lab technology,c105676
analysis and quality assurance,c105677
radiation science technology,c105678
laboratory,c105679
nursing education,c105680
radio graphy,c105681
respiratory therapy asm,c105682
bmlt,c105683
bscin operation theatre technology,c105684
physician assistant asm,c105685
optometry tech,c105686
operation theatre and anatesilogy,c105687
emergency responder,c105688
quality assurance technique,c105689
bmi,c105690
child helth nursing,c105691
optometry and ophthalmology 3,c105692
bscin purfusion tech,c105693
neuro electro physiology asm,c105694
oapt,c105695
critical care tech,c105696
bachelor audiology speech language pathology,c105697
accident and emergency technoloy,c105698
nuclear meddicine technology,c105699
allied health science asm,c105700
dialysis tech,c105701
icu,c105702
bachelor prosthetics and orthotics,c105703
x ray and imagine technology,c105704
bscin optometry,c105705
emergency medical technology asm,c105706
bscin physician assistance technology,c105707
echocardiography technology asm,c105708
emergency medical services asm,c105709
optometry asm lateral entry,c105710
bscin medical lab tech,c105711
medical laboratory technology asm,c105712
bscin radiography and imaging tech,c105713
advnsg nursing research nursing education speciality,c105714
pediatric nursing community health nursing,c105715
emergency and trauma care techni,c105716
anatomy physiology yoga and vaidik naturopathy principals sanskrit grammer and lit yoga prectical,c105717
aerospace medicine,c105718
msn i,c105719
subjects as prescribed by indian nursing council,c105720
streem,c105721
anatomy pysiology,c105722
nurshing,c105723
pharmacuitical analysis,c105724
pharmacology pharmaceutics pharmaceutical analysis and qa,c105725
pharmay,c105726
m pharm quality assurance,c105727
pharmacy pt,c105728
industrial pharmacy,c105729
m pharm drug delivery,c105730
phipci pgy bcp hap hecp phiipcii p and t pj dsbm hcp,c105731
pharmaceutical technology and bio pharmaceutics,c105732
p' logy,c105733
pharmace,c105734
quality assurance techniques,c105735
pharmaceutics asp,c105736
medical pharmacology,c105737
pharmacy pharctice,c105738
phramaceutics,c105739
pharmaceutical management and regulatory affairs,c105740
phanls 07,c105741
pharmaceutical analysis and quality control,c105742
sub computer,c105743
phar science,c105744
pharmacy pharmaceutical analysis,c105745
pharm analysis,c105746
medical pharmacology 1,c105747
phipci pgy bcp hap hecp phiipcii p and t dsbm phj hcp,c105748
pharm d pb,c105749
anatomy psychology and sociology fundamentals nursing community health nursing 1 medical surgical nursing 1 medical surgical nursing 2 mental health and psychiatric nursing obstretics and midwifery paediatric nursing community physiology and microbiology,c105750
health promotion midwifery child health nursing community health nursing primary health nursing health center managment,c105751
1st nursing,c105752
chn midwifery phcn,c105753
fundamental community health midwifery child health,c105754
ecg and cvt,c105755
the subject modern medicine,c105756
emt b,c105757
community healthy nursing health promotion primary health care child health nursing midifry and health centre mgt,c105758
radiology science,c105759
medical technology operation theatre,c105760
diet and nutrition,c105761
medical laboratory technology biochemistry asm,c105762
comunity health nursing primary health care child health nursing health promossion midwifery health centere management anatomy and physiology etc,c105763
cardiac tech,c105764
community health nursimg health promotion primary health care child health nursing midwifry health cemter and magt,c105765
media lab tech,c105766
mlt para science,c105767
hcp,c105768
pharmaceutics drug regulatory affairs,c105769
radio siagnosis,c105770
phamachemistry,c105771
cardiovascular and neuroradiology,c105772
medical radio diagnosis,c105773
quality a,c105774
pharma analysis,c105775
radio diagnosis asm,c105776
medical imaging techonology,c105777
abdominal imaging,c105778
post doctoral fellowship neuro and vascular interventional radiology,c105779
pharm d post baccalaureate,c105780
basic nursing subjects,c105781
dip radio diagnosis,c105782
x ray and ecg techniques,c105783
radiodiagnosys,c105784
inter pass with english science group preferred,c105785
neuro radiology,c105786
ct science technician,c105787
x ray and radiology,c105788
medical lab technology radiology,c105789
science biology,c105790
medical radio diagnosis d mrd asm,c105791
paediatric radiology,c105792
radiology technology,c105793
radiology degree,c105794
maternal and child health,c105795
nursing ay,c105796
prosthetics and orthotics,c105797
nuclear medicine tech,c105798
medical technology radiotherapy,c105799
pul medicine,c105800
operation theatre and anasthesia technology,c105801
clinical psychology asm,c105802
bscin surgical assistance,c105803
inter disciplinary research,c105804
medical technology radiography and imaging,c105805
biological science anatomy and physiology,c105806
family medicine,c105807
occupational health,c105808
ct surgery,c105809
cardio pulmonary perfusion technology,c105810
radiation and image technology,c105811
snursingcience,c105812
cardiology laboratory technique,c105813
cardiology hematolog neurology endocrinology,c105814
medical and nursing,c105815
fundamental nursing behavioral science community health nursing anatomy and physiology medical surgical i and ii mental health nursing midwifery child health nursing,c105816
endogynaecology,c105817
biochemisty pathology pharmacology psm medicine obs and gyn physiology,c105818
medical and allied health science,c105819
cot,c105820
pharmaceutical production management,c105821
pharmacy subjects,c105822
m pharmacy pharmaceutics,c105823
oncology nursing acn,c105824
bio science behavioral science fundamental nursing community health nursing english medical surgical nsg i medical surgical nsg ii mental health and psychiatric nsg computer midwifery and gynecology pediatric nsg educational methods,c105825
ophthamlology,c105826
opthal assitent,c105827
uvea,c105828
nusring,c105829
dgnm,c105830
opthalmic technology,c105831
glaucoma,c105832
bio beh fon com ms1 ms2 mhp mid pead chn,c105833
retina,c105834
ophtolmology,c105835
nursing foundation medial surgical nursing child health nursing mental health nursing,c105836
do opthamology,c105837
skin and vd,c105838
primary health care health promotion pediatric nursing community healty nursing obg health centre management,c105839
ophthalmology part time,c105840
ocular anatomy optics,c105841
anatomy and physiology fundamentals nursing community health nursing obs and gyne paeds psyciatry,c105842
opthalmology do asm,c105843
paediatric nursing,c105844
nursing management,c105845
disease eye pharmacology pathologymicrobiology and diagnostic instruments mechanical optics public heakth and community opthalmology,c105846
ophtholmology,c105847
as per indian nursing council,c105848
bachelor optometry,c105849
health,c105850
optometry and ophthalmology technology,c105851
opthalmic,c105852
fon nut aph msimsii chc chc midwifery,c105853
anatomy psychology microbiology medical surgical nursing obg sociology,c105854
nursing postbasic,c105855
neurophthal,c105856
biological science behaviour science fon chn computer english,c105857
medical phycics,c105858
anatomy socilogy and psycology fundamental nursing micro biology community health nursing,c105859
child health paediatric nursing,c105860
course medical laboratory technology,c105861
n053,c105862
dmlt/d xrt/dialysis/radio therapy tech /microbiology,c105863
pc nursing,c105864
nursing foundation,c105865
chn psy eng mic mat bio chem nutrition foundation psychiatric soc edu research,c105866
fundamentl nursing,c105867
emergency and trauma care,c105868
post basic b science,c105869
physician asst,c105870
cardio vascular technology asm,c105871
cardiothoracic vascular surgery,c105872
non invasive cardiology,c105873
decgt,c105874
ecg/treadmill technician,c105875
nursinmg,c105876
msn i mhn msn ii obg chn i chn ii behavioural science biological science fon m,c105877
as per inc norms,c105878
anatomy physiology,c105879
dissertation and viva voccie,c105880
anatomy and fundamental nursing medical surgical nursing obg community health nursing psychiatryic midwifery,c105881
primeryhealthcare heath promotion community health nursing child health nursing midwifery health centre management,c105882
cardio cath,c105883
interventional cardiology,c105884
pumb technician,c105885
bio science community health nsg fundamental nsg peadiatris nsg medical surgical nsg obstetrics nsg pschiatric ng,c105886
community mental and child health nursing health nursing,c105887
medica science,c105888
super specialty,c105889
community health nursing health promotion primary health care nursing i child health nursing midwifery health centre management,c105890
dph,c105891
community medicine/psm,c105892
naturopathy and yoga science,c105893
12th stream english computer,c105894
surgical gastroenterology,c105895
theory and clinical practice,c105896
child health nursing and midwifery,c105897
subject nursing,c105898
10 and 2 discipline,c105899
post graudate,c105900
bio science behavioural science midwifery mental health nursing medical surgical nurisng 1 and 2,c105901
blood transfusion technician,c105902
child and adolescent psychiatry,c105903
ph ceutics,c105904
hand surgery,c105905
anesthesia technician,c105906
pm and r,c105907
health professionals education,c105908
cardio thoracic surgery,c105909
thoraic medicine,c105910
blood transfusion medicine,c105911
immunohaematology and transfusion medicine,c105912
pharmacuitics,c105913
ct science techni,c105914
eye ent chest medicine anaesthesia gynecology and obstetricsorthopaedics,c105915
hpb surgery,c105916
neuroradiology,c105917
nursing medical surgical,c105918
msin shalya tantra samanya asa,c105919
pharmaceutical asp,c105920
nursing psychiatry,c105921
ultra sound technician,c105922
pdf neuro critical care,c105923
emergency medical services september,c105924
pharmaceutical biotechnology,c105925
pharma d,c105926
quality assurancerance,c105927
pharmacognosy and phytochemistry,c105928
pharmaceutical science medicinal,c105929
m pharm,c105930
pharmaceutics shi2,c105931
community health nursing ii,c105932
anatomy physiology sociology psychology fundamental comunity medical surgical1st psychiatric midwifery gynacology pediatrics community 2nd nursing education and reserch healtheconomics professional adjustment and ward manegement,c105933
pharma analysis and quality assurance,c105934
pb /nursing,c105935
pharmacetics,c105936
optometry with credits distance education,c105937
neuro science technology,c105938
docter pharmacy,c105939
clinical pharmacy,c105940
pharmaceutics pharmacology pharmachemistry pharmacognosy,c105941
d pharma,c105942
radiological technology,c105943
advanced medical imaging and technology,c105944
bscin physician assistant,c105945
tech radiodiagnosis,c105946
radiology dip,c105947
radiodiagnosis technology,c105948
radiodiagnosis technician,c105949
anatomy and physiology fon chn behavioral science medical surgical nursing psychiatric nursing midwifery and gynecological nursing pediatric nursing,c105950
radiographer technician,c105951
dmrd radiology,c105952
b pharm subject,c105953
medical radiological science asm,c105954
community pediatric primary health care health centre management pediatrics,c105955
radiognosis,c105956
nursing research and statistics,c105957
neuroimaging and interventional neuroradiology,c105958
dx ray,c105959
ctmri,c105960
microbiology asm,c105961
nursing foundation nutrition and biochemistry biochemistry and biophysics psychology maternal nsg child health nsg microbiology medical surgical nsg english,c105962
science /arts,c105963
midwifery and gynecology,c105964
gynic,c105965
obstetrics and gynecological nursing,c105966
community health nursing health primary health care nursing 1st child health nursing,c105967
bmrt,c105968
medical physiology,c105969
physioloty,c105970
pharmacy assistant,c105971
diet and nutrient,c105972
dialysis therapy asm,c105973
medivallab technology,c105974
psy com fon msn chn mhn,c105975
neurotechnology,c105976
chn midwifery health promotion etc,c105977
community health nursing health promotion primary health care nursing child health nursing midwifery health center management,c105978
anatomy psychology sociology fundamental nsg community health medical and surgical nursing psychiatric peadiatric obg research education administration,c105979
sociology community health nursing mental health nursing introduction to nursing education introduction to nursing administration intraduction nursing research and statistics,c105980
dnt,c105981
interdisciplinary phdin neurology neuropsychiatry clinical neurosciences,c105982
primary health care nursing child health nursing midwifery health center management health promotion,c105983
/ nursing,c105984
m pharmacy pharmaceutical,c105985
as per rules,c105986
anatomy and physiology microbiology nutrition and biochemstry psychology fundamental nursing english computer medical and surgical sociology pharmcology community health nursing paediatric nursing midwifery obg advance nursing research,c105987
sicence,c105988
nursingnew,c105989
analysis,c105990
auxillary nursing,c105991
nurrsing,c105992
anatomy fundamentals community health medical and surgical nursing psychiatric nursing paediatric nursing,c105993
nursing subects,c105994
primary health care nursing,c105995
module1 module 2 module 3,c105996
medical and surgical nursing,c105997
community health nursing health promotion primary health care childhealth nursingmidwifery health centre management etc,c105998
community health nursing medical surgical nursing pediatric nursing obst and gynecology nursing and psychiatric nursing,c105999
medical surgical maternity psychiatry nursing,c106000
post basic post basic,c106001
obgy nursing,c106002
obstetrical and gynecological nursing,c106003
psychiatric,c106004
state government,c106005
bio science behavioural science nursing foundatios community health nursing nutrition english medical surgical nursing mental health nursing child health nursing midwifery research nursing administration and ward management,c106006
hcm primary health care,c106007
community health nursing nursing foundation medical surgical nursing paediatric nursing mental health nursing obstetrics and gynecologynursing,c106008
gnc,c106009
neuro nursing,c106010
4ydc,c106011
science with art,c106012
biosciences fundamental nursing behavioral science community health nursing medical surgical nursing psycriatic nursing midwifery pediatric nursing,c106013
obstetrical and gynecology nursing,c106014
perfect,c106015
anatomy fon nrg psy chn,c106016
nursing programme,c106017
bio science behavioral science nursing foundation community health nursing medical surgical nursing psychiatry nursing child health nursing midwifery and gynaecological nursing,c106018
pcbe,c106019
community health nursinh,c106020
paramedical courses,c106021
medical and surgical nursing obstertric and gynecology nsg community health nsg,c106022
anesthesiologyanesthesiology,c106023
critical care medicine with specialization liver intensive care,c106024
chn hcm hp,c106025
10 and 2 medical,c106026
community health nursing health promotion primary health care child health nursing midwifry and health center mgt,c106027
community health nursing health promotion child health nursing midwifery health centre management,c106028
anaestheisology,c106029
organ transplant anesthesia and criticial care,c106030
dat,c106031
anaesthetic assistance,c106032
dip anaesthesiology,c106033
d anaesthesiology,c106034
da anesthesia,c106035
al subject,c106036
anaesthesialogy,c106037
anesthesialogy,c106038
anaestehsia,c106039
neuro anesthesia,c106040
post doctoral fellowship neuro anaesthesia,c106041
anaesthesiology part time,c106042
anaethesia,c106043
intensive care medicine,c106044
paediatric anaesthesia,c106045
community child health mhealth promotion midwifery primary health care nursing health center management,c106046
aneasthesiology,c106047
post doctoral fellowship cardiac anaesthesia,c106048
5 specialities,c106049
12th pass science,c106050
auxilart nurse midwify,c106051
anaesthesia degree,c106052
pharmaceutical science science,c106053
medical surgical nursing acn,c106054
anatomy and physiology fundamental nursing nutrition microbiology biochemistry psycology,c106055
inter pass science group preferred,c106056
dental,c106057
oral sur,c106058
prosthodontics crown and bridge,c106059
pedodontics and preventive dentistry external,c106060
conservative dentistry,c106061
indistrial pharmacy,c106062
medical surgical ii child health nursing mental health nursing midwifery and obstetrical nursing,c106063
as per norms,c106064
bloodbanking technology,c106065
health promotion child health community health primary health nursing,c106066
fon chn bio science behavior science,c106067
neuro electro,c106068
hpb interventional radiology,c106069
optmetry,c106070
pathology lab technician,c106071
medicl biochemistry,c106072
fon obgy pead,c106073
with min 55% marks and 1year job experience,c106074
nursing psychology sociology anatomy and physiology community health nursing 1 medical surgical nursing ii mental health nursing community health nursing ii midwifery and gynaecology,c106075
nutrition and biochemistry,c106076
certified radiological assistant,c106077
anatomy and physiology fundamental nursing behavioural science medical surgical nursing psychiatric nursing child health nursing obstetric and gynaecology community health nursing,c106078
radiology part time,c106079
medical laboratory technology te,c106080
anaesthesia technology asm,c106081
allied health science radiology and imaging science technology,c106082
crticalcare,c106083
medica surgical nursing community health nursing sociology communication and education technology pathology and genetics community health nursing i,c106084
bscin medical laboratory technology,c106085
community health nursing clild health nursing primary medical care midwifery health centre mgt,c106086
mlt with credits distance education,c106087
accident and tecbnology,c106088
medical radiography and imaging technology,c106089
mlt para medical,c106090
ophthalmic techniques,c106091
pbbsc,c106092
accident and emergency medicine,c106093
inx ray technology,c106094
dcp,c106095
patholgoy,c106096
speech and hearing,c106097
mlt pathology,c106098
cardio vascular technology,c106099
medical laboratory techni,c106100
cytechnology,c106101
paqc,c106102
community health nursing child health nursing health promotion primary health care health centre management obg,c106103
paed msn obg fon mic,c106104
fon nutritio psychology biochemistry biophysics chn obg research administration,c106105
medical surgical community health nursing paediatrics nursing psychiatric nursing,c106106
opthomology external,c106107
pm and ra,c106108
sports and exercise science,c106109
medical radiotherapy technology,c106110
bphrm,c106111
bachilar pharmacy,c106112
clinical research and experimental medicine,c106113
emergency and trauma care management,c106114
nursing foundations,c106115
quality assurance and pharma regulatory affairs,c106116
pharmaceuitical management and regulatory affairs,c106117
dilysis,c106118
dialysis therapy f/t,c106119
ph cology,c106120
pharmaceutics pharmachemistry pharmacognosy pharmacology,c106121
hospital and clinical pharmacy,c106122
medical surgical child health nursing maternal nursing microbiology psychology biochimistry and biophysics nutrition and dietetics nursing foundation engilish,c106123
fon nut aph msimsii chc chc midwifery research administration chn ii,c106124
bscin radio imaging technology,c106125
pharmac y,c106126
pharmaceuticals,c106127
pharmaceutic,c106128
post doctoral fellowship microbial medicine and infections control,c106129
qara,c106130
m pharam,c106131
truma care,c106132
hospital administration and management,c106133
tb and respiratory,c106134
pharmceutical,c106135
m pharma ayurveda,c106136
application technology hospital environment,c106137
allopathy,c106138
general medical,c106139
p' cogonocy,c106140
forensic and state medicine,c106141
b pham,c106142
pharmaeutics,c106143
f and sm,c106144
theatre technology,c106145
medical lb technology2,c106146
x ray technician1,c106147
medical laboratory,c106148
d mlt,c106149
patholgy,c106150
medical laboratory technician,c106151
hepatopathology,c106152
lab technition,c106153
labaratory,c106154
biomedical lab,c106155
midwifery chn,c106156
blood transfusion technician1,c106157
pg dmlt,c106158
medical electronics,c106159
medical laboratory technology clinical,c106160
cardiopulmonary,c106161
sports physiotherapy,c106162
neurologial physiotherapy,c106163
anatomy and physiology microbiology sociology fundamental nursing community health nursing medical surgical nursing mental health and psychiatric nursing computer education paeditric nursing gynaecology,c106164
phsiotherapy,c106165
electives,c106166
orthopeadics neurology cardiology,c106167
phdin physiotherapy,c106168
physiotherapy physiotherapy,c106169
orthopedics neurology cardio respiratory,c106170
physiotherapy rehabilitation,c106171
psysiotherapy and rehabilitation science,c106172
12th stream,c106173
obstetrical and gynaecological nursing,c106174
fon nutrition anatomy and physiology chn1 ms1 ms2 obg chn2 psychology research administration,c106175
obstetrics and gynecological nusring,c106176
midwifery and pediatric physilogy,c106177
midwifery and gynaecological,c106178
medical surgical child health obstetrics and gynaecological nursing,c106179
a and p,c106180
fundamentals nursing community health nursing medical surgical nursing i and ii ward management and administration,c106181
pcbsc nur,c106182
auxiliary nursing,c106183
general nursing and midwifer,c106184
pbsc nursing,c106185
management nursing services and education community health nursing ii nursing research and statistics,c106186
nursing arts,c106187
education research,c106188
chn i health promotion phcn chn,c106189
midwifer,c106190
pcb arts,c106191
health managment center,c106192
anatomy physiology and microbiology fundamental nursing sociology and psychology community health nursing gyn and obs surgical 1 and 2 chilh health nursing mental health nursing etc,c106193
english/ science arts,c106194
as per knc and ksdneb,c106195
nuirsing,c106196
community nursing,c106197
science / art,c106198
community health fundamental nursing antony philology,c106199
community health,c106200
first aid and emergency care home nursing reproductive and child health family welfare and population education nutrition and personal hygeine professional nannies and new born care specialists,c106201
nsg fon health promotion obstetricts,c106202
mental health psychiatric nsg ii surg nsg iii child health paediatric nsg iv obstetrical nsg v community health nsg,c106203
community health nsg health promotion primary health care nsg child health nsg midwifery health centre managment,c106204
chn anatomy fon paeds psychiatric,c106205
obstetric and gynecological nursing,c106206
oral maxillofacial pathology,c106207
nurinsg,c106208
community health nursing health promotion primary heatlh care nursing child health nursing health centre managment midwifery,c106209
bio science nursing/behaviour science health nursing/medical surgical nursing/mental health nursing/obg/child health nursing/health managment and administration/health economics/health education and research,c106210
health promotion midwifery child health nsg community health nsg primary health nsg health center managment,c106211
pathology asm,c106212
trauma emergency and disester management,c106213
