,discipline,discipline_clean
77597,"Prosthodontics, Crown & Bridge",prosthodontics crown and bridge
77598,ORTHODONTICSS,orthodonticss
77603,ORAL MEDICINE&RADIOLOGY,oral medicine and radiology
77608,"Oral Pathology & Microbiology (ASD, Kochi)",oral pathology and microbiology asd
77615,Pedodontics,pedodontics
77616,Prosthetics and Crown & Bridge,prosthetics and crown and bridge
77617,Dental Mechanic,dental mechanic
77624,ORAL & MAXILLOFACIAL SURGERY,oral and maxillofacial surgery
77626,MDS-PERIODONTICS,periodontics
77633,Conservative Dentistry and Endodontic,conservative dentistry and endodontic
77636,DEPARTMENT OF PEDODONTICS AND PREVENTIVE DENTISTRY,department pedodontics and preventive dentistry
77644,Prosthetic Dentistry and Implantology,prosthetic dentistry and implantology
77648,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,orthodontics and dentofacial orthopedics
77656,Bachelor,bachelor
77658,Peiodontics External,peiodontics external
77659,Implantology,implantology
77663,Orthodontics & Dentofacial Orthopedics,orthodontics and dentofacial orthopedics
77669,DEPARTMENT OF PERIODONTOLOGY,department periodontology
77671,Nursing post Basic B.Sc,nursing post basic
77672,Prosthodontics &Crown & Bridge,prosthodontics and crown and bridge
77674,Diploma in Dental Hygienist (F/T),dental hygienist f/t
77676,Local,local
77683,Periodontia,periodontia
77687,PEDODONTICS,pedodontics
77688,PERIODONTOLOGY,periodontology
77689,PENDONTICS,pendontics
77690,Peadodontics and Preventive Dentistry,peadodontics and preventive dentistry
77694,Oral Pathology amd Microbiology,oral pathology amd microbiology
77695,surgery,surgery
77698,Obstetrics & Gynecological Nursing,obstetrics and gynecological nursing
77700,Oral medicine,oral medicine
77705,Conservative Dentistry and Endodontics,conservative dentistry and endodontics
77708,Preventive and Community Dentistry,preventive and community dentistry
77709,Certificate in Aesthetic Dentistry,aesthetic dentistry
77712,DEPARTMENT OF PROSTHODONTICS  CRAUD ANS BRIDGE,department prosthodontics craud ans bridge
77715,PERIODONTICSTICS,periodonticstics
77718,CONSERVATIVE & ENDODONTICS,conservative and endodontics
77721,First,first
77725,Orthodontics & Dentofacial Orthopedic,orthodontics and dentofacial orthopedic
77738,BDS (ALL 9 DEPT.),9 dept
77739,Prosthodontics  & Crown and Bridge,prosthodontics and crown and bridge
77741,DR. NTR UHS,dr ntr uhs
77745,"Medical Surgical Nursing,Foundation of Nursing ,Psychitric Nursing ,Anatomy Physiology,community  Health Nursing,Nutrition,Psychology,Sociology,Midwifery & Gynaecology,Nursing,Paediatric Nursing,Nursing Administration & ward Management ,Nursing reasearch",medical surgical nursing foundation nursing psychitric nursing anatomy physiology community health nursing nutrition psychology sociology midwifery and gynaecology nursing paediatric nursing nursing administration and ward management nursing reasearch
77746,Oral Medice & Radiology,oral medice and radiology
77749,"Orthodontics & Dentofacial Orthopedics (ASD, Kochi)",orthodontics and dentofacial orthopedics asd
77750,Prosthodontics & Crown & bridge,prosthodontics and crown and bridge
77763,Conservative  Dentistry & Endodontics,conservative dentistry and endodontics
77764,Orthodontics  & Dentofacial   Orthopedics,orthodontics and dentofacial orthopedics
77765,Dental Hygenists,dental hygenists
77766,oral and maxillofacial surgery,oral and maxillofacial surgery
77771,Prosthodontics and Crown & Bridge (DSPR),prosthodontics and crown and bridge dspr
77773,Pediatric & Preventive Dentistry,pediatric and preventive dentistry
77782,CONSERVATIVE DENTISTRY,conservative dentistry
77785,"CHN,FON,MID,",chn fon mid
77787,dna,dna
77792,"Prosthodontics, Crown and Bridge",prosthodontics crown and bridge
77801,ORAL MEDICINE & RADIOLOGY,oral medicine and radiology
77817,All dentistry subjects,dentistry subjects
77820,Intern,intern
77823,Orthodonticd,orthodonticd
77825,.D.S.-Bachelor of Dental Surgery,dentistry
77826,"Child Health Nursing, Heth Promotion, Midwifery, Health Center Managment, Community Heealth Nursing",child health nursing heth promotion midwifery health center managment community heealth nursing
77829,Prostho,prostho
77830,DEPARTMENT OF ORAL PATHOLOGY,department oral pathology
77832,MSc(Nursing),nursing
77835,OMFS,omfs
77839,Periodontics & Preventive Dentistry,periodontics and preventive dentistry
77850,"Community Health Nursing, Health Pramotiom, Primary health care nursing, child health nursing, midwifery, Health center Menejment",community health nursing health pramotiom primary health care nursing child health nursing midwifery health center menejment
77852,Dental Education,dental education
77853,G.N.M. All subjects,subjects
77856,Health Subject,health subject
77857,Post Basic B. Sc. Nursing,post basic nursing
77876,"Fundamental, bioscience,sociology,mental health,psychology,",fundamental bioscience sociology mental health psychology
77879,GNM NURSING SUBJECT,nursing subject
77881,B.Sc. NURSING,nursing
77887,Paediatric,paediatric
77896,"Post Basic B.Sc Nursing (ACN, Kochi)",post basic nursing acn
77904,Nursing Diploma,nursing
77905,"ANATOMY MIDWIFERY,MEDICAL SURGICAL NURSING ,PSYCHOLOGY,MICROBIOLOGY",anatomy midwifery medical surgical nursing psychology microbiology
77907,"Community Health Nursing,Health promotion,Primary Health Care Nursing-I, Child Health Nursing, Midwifery, health Centre Management",community health nursing health promotion primary health care nursing i child health nursing midwifery health centre management
77911,Restorative,restorative
77915,Post B.Sc. Nursing,post nursing
77917,DORA,dora
77918,8 Specialities,8 specialities
77919,dental,dental
77922,Prosthodontis and Crown and Bridge,prosthodontis and crown and bridge
77925,SCINCE BIO,science bio
77929,"Dental Mechanics (ASD, Kochi)",dental mechanics asd
77931,Ortho,ortho
77932,"ANATOMY PHYSIOLOGY,BIOLOGY",anatomy physiology biology
77936,Dental Hygienist,dental hygienist
77945,ORAL AND MAXILLOFACIAL SURGERY,oral and maxillofacial surgery
77948,Periodontology and Implantology,periodontology and implantology
77950,Operation Theatre  & Anathesia Technology,operation theatre and anathesia technology
77952,"ORAL MEDICINE AND RADIOLOGYPROSTHODONTICS, CROWN AND BRIDGE",oral medicine and radiologyprosthodontics crown and bridge
77954,oral medicine,oral medicine
77955,Anasthesia,anasthesia
77956,ORAL SURGERY,oral surgery
77963,B.D.S,dentistry
77969,M.D.S,dentistry
77970,Master of Dental surgery,dentistry
77973,MD - Anaesthesiology,anaesthesiology
77977,Oral Pathology & Microbilogy,oral pathology and microbilogy
77981,Orthodentics,orthodentics
77990,Orthodontics and Dentofacial Orthopedics,orthodontics and dentofacial orthopedics
77993,Final,final
77996,Orth cons Prio   Prostho,orth cons prio prostho
77997,Oral Medicine,oral medicine
78002,Diploma in OT Tech,inot tech
78003,ANAESTHSIA,anaesthsia
78013,Anaesthesia Dip,anaesthesia dip
78017,ORAL PATHOLOGY AND MICROBIOLOGY,oral pathology and microbiology
78018,Peadodontics,peadodontics
78020,Prosthodontics Crown &  Bridg,prosthodontics crown and bridg
78021,Pediatric and Preventive Dentistry,pediatric and preventive dentistry
78031,AnesthesiologyAnesthesiology,anesthesiologyanesthesiology
78041,Dentustry,dentustry
78048,Department of Paedodontics & Preventive Dentistry,department paedodontics and preventive dentistry
78053,Fellowship in Laser Dentistry,fellowship laser dentistry
78055,Paediatric & Preventive Dentistry (PPD),paediatric and preventive dentistry ppd
78058,M.D. Anaesthesiology,anaesthesiology
78060,"Anesthesiology - D A (ASM, Kochi)",anesthesiology da asm
78064,9 specialities,9 specialities
78068,NeuroAnesthesia,neuroanesthesia
78069,Oral & Maxillofacial Surgery External,oral and maxillofacial surgery external
78076,DA-Diploma in Anaethesiology,da anaethesiology
78082,MD- ANAESTHESIA,anaesthesia
78085,Oralpathology  Dentistry (Part time),oralpathology dentistry part time
78092,PERODONTICS,perodontics
78094,Cardiothorasic and Vascular Anesthesia,cardiothorasic and vascular anesthesia
78099,Prosthodontics Crown & Bridge Part time,prosthodontics crown and bridge part time
78100,Master of Dental Surgery,dentistry
78102,Paedodontics and Preventive Dentistry,paedodontics and preventive dentistry
78106,Prosthetics,prosthetics
78113,Anestheisa,anestheisa
78117,O.T. Assistant,ot assistant
78127,Operation theatre & anasthesia Technology,operation theatre and anasthesia technology
78132,G.N.M. NEW,new
78135,Oral Medicine  &Radiology,oral medicine and radiology
78142,Conservative Dentistry and  Endodontics,conservative dentistry and endodontics
78144,"ORAL PATH.,CON.,PRODTHO.,PERIO.,ODMR, ORAL SURGERY,PEDIO.",oral path con prodtho perio odmr oral surgery pedio
78149,Fellowship in Dental Implantology,fellowship dental implantology
78152,"ANATOMY, PHYSIOLOGY, BIOCHEMISTRTY, DENTAL ANATOMY AND DENTAL HISTOLOGY",anatomy physiology biochemistrty dental anatomy and dental histology
78159,Paediatric Dentistry & Preventive Childrens' Dentistry,paediatric dentistry and preventive childrens' dentistry
78164,Dental Scien,dental science
78166,AS PER UNIVERCITY RULE,as per univercity rule
78167,Paedo,paedo
78176,All Subject of 9 department  of dentstry & medical as per DCI norms,subject of9 department dentstry and medical as per dci norms
78180,Peadiatrics,peadiatrics
78189,Oral & Maxillofacial Pathology,oral and maxillofacial pathology
78195,ORALMEDICINE & RADIOLOGY,oralmedicine and radiology
78196,Oral & Maxiliofacial  Surgery,oral and maxiliofacial surgery
78200,B.D.S.-Bachelor of Dental Surgery,dentistry
78202,all dental subjects,dental subjects
78203,DGREE,dgree
78204,CONSERVATIVE DENTISTRY & ENDODNTICS,conservative dentistry and endodntics
78207,"Health pramotion , Child Health Nursing, Community Health Nursning, Midwifery, Primary healthCare, primary health  Centre Management ,",health pramotion child health nursing community health nursning midwifery primary healthcare primary health centre management
78208,FUNDAMENTAL  OF NURSING,fundamental nursing
78231,B.Pharmacy (Allopathy),b pharmacy allopathy
78233,PHARMACOLOGY AND TOXICOLOGY,pharmacology and toxicology
78235,PHARM-D,pharm d
78240,pHARMACY,pharmacy
78257,Community health nursing,community health nursing
78258,M.PHARM,m pharm
78260,12th- Any Stream (English Compulsory)),12th stream english computer
78268,Quality assurance technique,quality assurance technique
78269,POST BACCALAUREATE,post baccalaureate
78283,phamacy,phamacy
78294,pharmacy Technology,pharmacy technology
78308,Pharm D (PB),pharm d pb
78316,Board,board
78321,pharmacolgy,pharmacolgy
78328,POST BASIC B.Sc. NURSING,post basic nursing
78331,Inter Pass with Science,inter pass with science
78338,PHARM CHEMISTRY,pharm
78343,Ph.Analysis & QA,ph analysis and qa
78344,Pharma.,pharma
78346,P' Ceuticus,p' ceuticus
78348,P'Analysis,p'analysis
78361,B.Sc. (MIT) Para Medical,mit para medical
78369,CLINICAL PHARMACY,clinical pharmacy
78384,Industrial Hygiene & Safty,industrial hygiene and say
78385,B.SC. Radiology & Imaging  Tech,radiology and imaging tech
78387,B.Sc. in Cardiac Technology,bscin cardiac technology
78388,Emergency and Trauma Care Technology,emergency and trauma care technology
78389,Phamacognosy,phamacognosy
78390,Pharmacy (Quality Assurance),pharmacy quality assurance
78403,D.Pharmacy,d pharmacy
78408,pharamacy,pharamacy
78411,Pharmaceutical   Analysis,pharmaceutical analysis
78424,Pharm. Chemistry,pharm
78426,B.Pharm. (Ayurveda),b pharm ayurveda
78428,Q.A,pharmacy
78432,Pharmaceutical Medicine,pharmaceutical medicine
78433,Pharm. D. - Post Baccalaureate,pharm d post baccalaureate
78450,Batchlar,batchlar
78453,M.Pharm(Pharmaceutics),m pharm pharmaceutics
78476,M.Pharm Pharmaceutics,m pharm pharmaceutics
78483,PHARMACEUTICAL ANALYSIS  AND QUALITY ASSURANCE,pharmaceutical analysis and quality assurance
78484,Pharmaceutical Analysis and Quality Assurance (II shift),pharmaceutical analysis and quality assurance ii shi
78489,Bachelor of Science in   Physician Assistant,physician assistant
78490,M.Sc. (Med.) Anatomy,anatomy
78494,B.Sc. in Medical Tech. Operation Theatre (OT),bscin medical tech operation theatre ot
78504,B.Sc Medical Lab Technology,medical lab technology
78510,Unani,unani
78513,Pre-tibb,pre tibb
78516,UNANI,unani
78521,B.SC MEDICAL LABORATRY TECHNOLOGY,medical laboratry technology
78524,BSc RT Bridge,rt bridge
78535,B.Sc. Operation Theatre   Anaesthesia,operation theatre anaesthesia
78536,Medical Record & Health Information Management,medical record and health information management
78540,Medical genetics,medical genetics
78542,Pharmacy (F T),pharmacy
78548,MEDICAL  TECHNOLOGY (OPERATION THEATRE),medical technology operation theatre
78567,Pharmaceutical   Sciences,pharmaceutical science
78572,Ph.D. (Pharmaceutics),pharmaceutics
78579,Management Regulatory affairs,management regulatory affairs
78582,Science- Medical,science medical
78584,Radiological Emagin Techniques,radiological emagin techniques
78585,B.Sc. Radiotherapy Tech,radiotherapy tech
78587,HumanNutrition,humannutrition
78588,Science-M,science m
78594,Medical Imaging,medical imaging
78595,M.Sc. Anatomy,anatomy
78597,Medical Mircro,medical mircro
78598,BSc NMT,nmt
78613,M-PHARMA,m pharma
78620,MMMB,mmmb
78637,pharmaceutical analysis & Quality assurance,pharmaceutical analysis and quality assurance
78639,P&P,p and p
78641,B.Sc. Cardio Pulmonary Perfusion,cardio pulmonary perfusion
78650,B.Sc. (Physician Assistant),physician assistant
78657,Ayurveda,ayurveda
78665,"MATH, ENGLISHPHYSICS,CHEMISTRY,BOTONY,ZOOLOGY,GEOLOGY",math englishphysics botony zoology geology
78666,Bio-Technolgy,bio technolgy
78673,Medical record,medical record
78675,Pharmacy (Lateral Entry),pharmacy lateral entry
78678,"ANATOMY, PHYSIOLOGY, BIOCHEMISTRY, PATHOLOGY, MICROBIOLOGY, PHARMACOLOGY, FORENSIC MEDICINE, COMMUNITY MEDICINE, MEDICINE, OBG, SURGERY, PEDIATRICS, OPHTHALMOLOGY, ENT",anatomy physiology biochemistry pathology microbiology pharmacology forensic medicine community medicine medicine obg surgery pediatrics ophthalmology ent
78684,MD Emergency Medicine,emergency medicine
78691,Months Certificate Course inSports Dietiation,months course insports dietiation
78692,X-Ray Radiography,x ray radiography
78693,"Anatomy,Physiology,Biochemistry",anatomy physiology biochemistry
78695,Anatomy Physiology Biochemistry Pathology Microbiology Forensic Medicine Community Medicine Eye ENT General Surgery General Medicine Pediatrics Obstetrics and Gynecology,anatomy physiology biochemistry pathology microbiology forensic medicine community medicine eye ent general surgery general medicine pediatrics obstetrics and gynecology
78698,MD GERIATRICS,geriatrics
78699,Orthopedics,orthopedics
78700,"ANAT, PHYSIO, BIO, PATHO, MICRO, FM, P&SM, GM, SURGERY, OBG",anat physio bio patho micro fm p and sm gm surgery obg
78710,M.B.B.S.,general medicine
78711,Radio-therapy,radio therapy
78716,Ouality Assurance,ouality assurance
78719,M.D. General  Medicine,general medicine
78722,MD General Medicine,general medicine
78723,Pharma Analysis,pharma analysis
78724,PHARMACEUTICAL ANALYSIS & QA,pharmaceutical analysis and qa
78725,GENERAL MEDICINE,general medicine
78727,Physician Assistance,physician assistance
78735,Emergency Care Technician,emergency care technician
78737,Pharmaceutical  Analysis And Quality Assurance,pharmaceutical analysis and quality assurance
78741,"Medicine, Surgery, Obs & Gyne.,",medicine surgery obs and gyne
78745,SOCIAL AND PREVENTIVE MEDICINE,social and preventive medicine
78748,MD-GEN. MEDICINE,gen medicine
78750,D.Ortho,d ortho
78758,Path/Micro/Path/F.M,path/micro/path/f m
78759,PHARMACEUTICAL  ANALYSIS,pharmaceutical analysis
78761,"Community Medicine (ASM, Kochi)",community medicine asm
78763,"Geriatrics (ASM, Kochi)",geriatrics asm
78764,"PHARMACEUTICS, PHARMACEUTICAL CHEMISTRY, PHARMACOLOGY, DRUG REGULATORY AFFAIRS, QUALITY ASSURANCE",pharmaceutics pharmaceutical pharmacology drug regulatory affairs quality assurance
78766,"Anat,Bio,Micro,PSM,Phyio,Pharma,Surg,Med",anat bio micro psm phyio pharma surg
78768,Gynecology,gynecology
78774,MD- MEDICINE,medicine
78775,Microbiolgy Medicine (Full-Time),microbiolgy medicine
78776,Pharmacuetics,pharmacuetics
78777,Medical sciences,medical science
78783,Herbal drug Technology,herbal drug technology
78785,Gen. Medicine,gen medicine
78793,"PH-I,PC-I,PGY,BCP,HAP,HECP,PH-II,PC-II,P&T,PJ,DSBM,HCP",phipci pgy bcp hap hecp phiipcii p and t pj dsbm hcp
78798,M.B.B.S,general medicine
78801,All essential subject for MBBS,essential subject for
78803,MOALEJAT,moalejat
78805,MS/MD/PG Diploma,/ /
78807,Medical-Allopathy,medical allopathy
78809,INFECTIOUS DISEASE,infectious disease
78810,All Pharmacy subjects as per University syllabus,pharmacy subjects as per university syllabus
78811,Medicine & Surgery,medicine and surgery
78841,"PHARMACEUTICS -1,ORGANIC CHEMISTRY,HUMAN ANATOMY AND PHYSIOLOGY,BIOCHEMISTRY,PHARMACOGNOCY,PHARMA CHEM INORGANIC",pharmaceutics 1 organic human anatomy and physiology biochemistry pharmacognocy pharma chem inorganic
78854,D.Pharma,d pharma
78860,m. pHARMACY PHARMACEUTICAL ANALYSIS AND QUALITY ASSURANCE,m pharmacy pharmaceutical analysis and quality assurance
78882,Pharmacutics,pharmacutics
78885,P'ceutics & P'chemistry,p'ceutics and p'
78887,Pharmaceutical Technilogy,pharmaceutical technilogy
78890,pharmacology,pharmacology
78896,ANALYSIS,analysis
78910,QUALITY ASSURNACE,quality assurnace
78921,PHARMACEUTICAL MANAGEMENT AND REGULATORY AFFIARS,pharmaceutical management and regulatory affiars
78929,Science & Technology,science and technology
78934,Post Baccalaureate,post baccalaureate
78937,Pharamcy,pharamcy
78938,PHCETS-03,phcets 03
78946,Pharm.D PB,pharm dpb
78962,M- Pharmacy,m pharmacy
78966,Post Baccaulerate,post baccaulerate
78967,"Pharmaceutics,Pharmachemistry,Pharmacognosy,Quality Assurance",pharmaceutics pharmachemistry pharmacognosy quality assurance
78972,P' Cognosy,p' cognosy
78984,"Anatomy, Physiology, Bio- Chemistry, Pathology, Microbio logy, Forensic Medicine, Pharma cology, Community Medicine, Opthal mology, E.N.T., Medicine,Surgery, Obstetrics & Gynacology, Paediatrics",anatomy physiology bio pathology microbio logy forensic medicine pharma cology community medicine opthal mology ent medicine surgery obstetrics and gynacology paediatrics
78986,Medical subjects,medical subjects
78987,"Anatomy, Biochemistry, Microbiology,Physiology,Pathology,Pharmacology, Forensic Medicine, General Medicine, general Surgery, Gaynacology,Paediatrics",anatomy biochemistry microbiology physiology pathology pharmacology forensic medicine general medicine general surgery gaynacology paediatrics
79007,Medical Scineces,medical science
79008,Medical Subject,medical subject
79009,Medicine (J.N.M.College,medicine jnm college
79010,Bachelor of Medicine & Bachelor of Surgery,general medicine
79011,"Rheumatology (ASM, Kochi)",rheumatology asm
79014,Master of Chirugiae,master chirugiae
79025,Comm.Med.,comm
79026,ENT/Oph/Community Medicine,ent/oph/community medicine
79028,Bachelore of Surgery,bachelore surgery
79029,Tuberculosis & Respiratory Diseases,tuberculosis and respiratory diseases
79032,Panchakarma,panchakarma
79036,Internal Medicine,internal medicine
79041,"All Pre Clinical ,Para Clinical & all clinical subjects",pre clinical para clinical and clinical subjects
79046,Medical Allopathy,medical allopathy
79055,Fellowship in clinical Diabetology,fellowship clinical diabetology
79084,Medicine And Surgery,medicine and surgery
79090,Medical Sc.,medical science
79100,ALL MEDICAL SUBJECTS,medical subjects
79104,"Tuberculosis and Respiratory Diseases (ASM, Kochi)",tuberculosis and respiratory diseases asm
79106,Diploma in Operation Theater Technology,operation theater technology
79117,Medical Subjects,medical subjects
79119,Undergraduate Medicine,undergraduate medicine
79121,Pharma Management,pharma management
79122,"MBBS/Anatomy,Physiology,Biochemistry,Pharma,Patho,Micro,FMT,Surgery,Medicine,Ophtha,ENT,SPM,OBGY,Pediatrics",/anatomy physiology biochemistry pharma patho micro fmt surgery medicine ophtha ent spm obgy pediatrics
79123,Ph.D. Emergency Medicine,emergency medicine
79124,Dresser,dresser
79125,22,general medicine
79127,Ph.D. Respiratory Medicine,respiratory medicine
79128,B.Sc (Nursing),nursing
79132,O.T Technician,ot technician
79137,Respiratory technician Medicine,respiratory technician medicine
79138,Allopathy,allopathy
79143,Social & Preventive  medicine,social and preventive medicine
79153,"Endocrinology (ASM, Kochi)",endocrinology asm
79154,ENDOCRINOLOGY,endocrinology
79155,DM - Endocrinology,endocrinology
79158,Applied Biologycology,applied biologycology
79160,Paediatric Endocrinology,paediatric endocrinology
79161,DD,endocrinology
79163,Fellowship in Clinical Diabetology,fellowship clinical diabetology
79164,"Head and Nech Surgery (ASM, Kochi)",head and nech surgery asm
79180,"ANATOMY PHYSIOLOGY BIOCHEMISTRY MICROBILOGY PHARMACOLOGY PATHALOGY FORENCIS MEDICINE, ENT, Community Medicine, Ophthalmology  General Medicine General Surgery, Obstt, Peadiatrics",anatomy physiology biochemistry microbilogy pharmacology pathalogy forencis medicine ent community medicine ophthalmology general medicine general surgery obstt peadiatrics
79185,Pediatrics,pediatrics
79190,"Swallowing Disorders & Therapy (ASM, Kochi)",swallowing disorders and therapy asm
79197,Many (15),many 15
79201,OBSTETRICS AND GYNAECOLOGY,obstetrics and gynaecology
79203,"Anatomy, Physiology, Biochemistry, Pathology, Microbiology, Pharmacology, Forensic Medicine, ENT, Ophthalmology, Community Medicine, General Medicine, General Surgery, Paediatrics & Obstetrics & Gynaecology",anatomy physiology biochemistry pathology microbiology pharmacology forensic medicine ent ophthalmology community medicine general medicine general surgery paediatrics and obstetrics and gynaecology
79211,MD - General Medicine,general medicine
79216,Pulmonary Medical,pulmonary medical
79223,Emergency technician,emergency technician
79225,ALL SUBJECCTS OF MBBS,subjeccts
79227,TB&ChEST,tb and chest
79228,"Pharmacology,Microbiology,Pathology,Forensic Medicine",pharmacology microbiology pathology forensic medicine
79229,Kayachikitsa,kayachikitsa
79233,"Anatomy,Phy,Bio,Path.Micro.Pharma.F.Medicine,ENT,Opth.Community Medicine Medicine Surgery, Obst.&Gynae,Paed,",anatomy phy bio path micro pharma f medicine ent opth community medicine medicine surgery obst and gynae paed
79234,Dialysis technician,dialysis technician
79237,"Clinical Research (ASM, Kochi)",clinical research asm
79241,"General Medicine (ASM, Kochi)",general medicine asm
79242,"Anatomy, Physiology, Biochemistry, Pharmacology, Pathology, Microbiology, Forensic Medicine, Community Medicine, General Medicine & Allied, General Surgery,   O&G, Pediatrics, ENT, Ophthalmology, Orthopedics,Radio diagnosis, Dental surgery, Anesthesiology",anatomy physiology biochemistry pharmacology pathology microbiology forensic medicine community medicine general medicine and allied general surgery o and g pediatrics ent ophthalmology orthopedics radio diagnosis dental surgery anesthesiology
79247,"Pharmacology, SPM, Forensic,  etc",pharmacology spm forensic etc
79252,Medical Scinece,medical science
79256,Post Doctoral Fellowship in Emergency Medicine,post doctoral fellowship emergency medicine
79261,Anat /Phy/Bio,anat /phy/bio
79264,21,general medicine
79265,"Biostatistics (ASM, Kochi)",biostatistics asm
79270,General Medicinecdicine,general medicinecdicine
79279,M.S./ M.D,general medicine
79281,medical sargen,medical sargen
79283,General MedicineMedical Science,general medicinemedical science
79284,"Bachelor of Medicine and Bachelor of Surgery (ASM, Kochi)",asm
79285,All Subject By Medical Council Of India,subject by medical council india
79288,SURGERY,surgery
79289,"Respiratory Medicine (ASM, Kochi)",respiratory medicine asm
79290,Prevention & Community Medicine,prevention and community medicine
79297,Anatomy/Physiology/Biochemistry/ Pharmacology/Microbiology/Pathology/Forensic Medicine/ Comunity Medicine/Opthalmology/ENT/General Medicine/General Surgery/ OBG/Paediatrics,anatomy/physiology/biochemistry/ pharmacology/microbiology/pathology/forensic medicine/ comunity medicine/opthalmology/ent/general medicine/general surgery/ obg/paediatrics
79302,Ph.D. Community Medicine,community medicine
79314,All compulsory,computer
79328,Med/Sur/OBG/Paed/Ortho/,/sur/obg/paed/ortho/
79329,Fellowship in Medical Genetics,fellowship medical genetics
79331,Gen Med,gen
79332,"Clinical Nurition Foods & Sciences (ASM, Kochi)",clinical nurition foods and science asm
79333,DTM&H,dtm and h
79345,"ENT, OPTH, PSM",ent opth psm
79347,Medicine / Surgery,medicine / surgery
79351,TB. & Respiratory Med.,tb and respiratory
79361,"Pre-Clinical, Para-Clinical, Clinical",pre clinical para clinical clinical
79363,sleep Medicine,sleep medicine
79373,M.Sc. (Med.) Physiology,physiology
79400,Phsiology,phsiology
79403,MD-Physiology,physiology
79405,MUNAFE UL AZA,munafe ul aza
79417,MD Physiology,physiology
79430,Physiology - Part Time,physiology part time
79432,MD - Physiology,physiology
79441,MD KRIYA SHARIR,kriya sharir
79470,MEDICAL PHYSIOLOGY,medical physiology
79484,pharmaceutical science,pharmaceutical science
79488,Pharmacy (LKO),pharmacy
79493,B.  PHARMACY,b pharmacy
79499,Quality Assurance ,quality assurance
79501,PHARMACEUTICAL INORGANIC CHEMISTRY,pharmaceutical inorganic
79506,"Biochemistry (ASM, Kochi)",biochemistry asm
79521,GEN.NURSING,gen nursing
79525,M.Sc MLT Biochemistry,mlt biochemistry
79540,PHYSIOTHEROPY,physiotheropy
79543,PROSTHETICS AND ORTHOTICS,prosthetics and orthotics
79548,"Health promotion , PHC, Child health Nursing ,Midwifery,Health centre management, community health nursing",health promotion phc child health nursing midwifery health centre management community health nursing
79550,Community based rehabilitation  Physiotherapy,community based rehabilitation physiotherapy
79551,CBR and Geriatrics,cbr and geriatrics
79552,Bachelor of Physiotherapy (BPT),physiotherapy
79553,MPT Sports Physiotherapy,sports physiotherapy
79555,Nurse  & Midwife,nurse and midwife
79562,Pediatric Physiotherapy,pediatric physiotherapy
79573,Nursing Subject,nursing subject
79575,NEURO,neuro
79585,PHYSIOTHTAPY,physiothtapy
79586,"Anatomy, physiology, medicine, ortho,neurology, all physiotherapy subjects",anatomy physiology medicine ortho neurology physiotherapy subjects
79588,Prosthetics and Orthotics,prosthetics and orthotics
79592,BIO CHEMSITRY,bio chemsitry
79597,Nutriton,nutriton
79604,SCIENCE AND ARTS,science and arts
79605,B. PHARMA.,b pharma
79608,DRA,dra
79611,Clinical Immunology,clinical immunology
79613,"Applied Biology, Bio-Chemistry",applied biology bio
79614,Fellowship in Pediatric Hematology- Oncology,fellowship pediatric hematology oncology
79618,Blood Banking & Immunohaematology,blood banking and immunohaematology
79619,Immuno Hematology & Blood Transfusion  Medicine,immuno hematology and blood transfusion medicine
79621,Clinical Haematology,clinical haematology
79622,Immunohaemotology & Blood Transfusion,immunohaemotology and blood transfusion
79623,Immuno Haematalogy & Blood Transfusion,immuno haematalogy and blood transfusion
79625,MED. TECH. HAEMATOLOGY,tech haematology
79641,phyciatry,phyciatry
79651,Clinical Social Work,clinical social work
79673,Psychaitry,psychaitry
79676,MD- PSYCHIATRY,psychiatry
79684,Medical Biochemistry - Part Time,medical biochemistry part time
79688,"Psychiatry Medicine - D.PM (ASM, Kochi)",psychiatry medicine dpm asm
79690,psychological medicine,psychological medicine
79709,Psychological medicine,psychological medicine
79721,M.D. Psychiatry,psychiatry
79730,Diploma in Psychiatric Medicine,psychiatric medicine
79739,MD Psychiatry,psychiatry
79746,Psychiarty,psychiarty
79751,Nursing Basic,nursing basic
79759,Psychiatry social work,psychiatry social work
79767,Ph.D.Psychiatry,psychiatry
79783,Radio Therapy,radio therapy
79789,Obstetrics and Gynaecological Nursing,obstetrics and gynaecological nursing
79790,MD Radiotherapy,radiotherapy
79792,Diploma in Radio Therapy,radio therapy
79795,MD - Radiotherapy,radiotherapy
79799,RADIOTHERAPY TECHNOLOGY,radiotherapy technology
79800,O & G,o and g
79803,Radiation Physic,radiation physic
79806,RADIOTHERAPY,radiotherapy
79808,Radiotherapy technician,radiotherapy technician
79818,Radio Diagnostic Technology,radio diagnostic technology
79819,"Medical Radio-Therapy - DMRT (ASM, Kochi)",medical radio therapy dmrt asm
79823,GENERAL NURSING & MIDWIFERY,nursing
79824,DGO Obstereics and Gynecology,dgo obstereics and gynecology
79841,DIP. IN ORTHOPAEDICS,dip orthopaedics
79842,D.M.(Neonatology,neonatology
79843,"Obstetrics and Gynecology (ASM, Kochi)",obstetrics and gynecology asm
79845,Orthopaedic,orthopaedic
79847,Obs. & Gynae,obs and gynae
79850,D ORTHO,d ortho
79853,nursingm,nursingm
79854,Orthopaeidcs,orthopaeidcs
79861,D.Ortho.,d ortho
79869,Othopaedics,othopaedics
